Name, Has TP Support, Has Auto Solver
.--/---/..-., TRUE, TRUE
_Play_, TRUE, TRUE
+, TRUE, TRUE
↻↺, TRUE, TRUE
❖, TRUE, TRUE
0, TRUE, TRUE
1+2=3, TRUE, TRUE
1×1×1 Rubik's Cube, TRUE, TRUE
100 Levels of Defusal, TRUE, TRUE
12trap, TRUE, TRUE
14, TRUE, TRUE
15 Mystic Lights, TRUE, TRUE
1D Chess, TRUE, TRUE
1D Maze, TRUE, TRUE
2048, TRUE, TRUE
21, TRUE, TRUE
24, TRUE, TRUE
"27,644,437", TRUE, TRUE
3×3 Grid, TRUE, TRUE
3D Maze, TRUE, TRUE
3D Tap Code, TRUE, TRUE
3D Tunnels, TRUE, TRUE
3N+1, TRUE, TRUE
4 Buttons, TRUE, TRUE
42, TRUE, TRUE
4D Maze, TRUE, TRUE
501, TRUE, TRUE
64, TRUE, TRUE
7, TRUE, TRUE
8, TRUE, TRUE
81, TRUE, TRUE
9-Ball, TRUE, TRUE
A Massive Amount of Wires, TRUE, TRUE
A Message, TRUE, TRUE
A Square, TRUE, TRUE
A>N<D, TRUE, TRUE
A-90, TRUE, TRUE
AAAAA, TRUE, TRUE
Abilities, TRUE, TRUE
Abstract Sequences, TRUE, TRUE
A-button-ing Mazes, TRUE, TRUE
Abyss, TRUE, TRUE
Accelerando, TRUE, TRUE
Access Codes, TRUE, TRUE
Actions and Consequences, TRUE, TRUE
Activities, TRUE, TRUE
Add Nauseam, TRUE, TRUE
Addition, TRUE, TRUE
Adjacent Letters, TRUE, TRUE
Adjacent Letters (Russian), TRUE, TRUE
Advanced Shapes and Colors, TRUE, TRUE
Adventure Plan, TRUE, TRUE
Affine Cycle, TRUE, TRUE
Air Strikes, TRUE, TRUE
Air Traffic Controller, TRUE, TRUE
Alarming, TRUE, TRUE
Albuquerque, TRUE, TRUE
Alchemy, TRUE, TRUE
Alcoholic Rampage, TRUE, TRUE
Alfa-Bravo, TRUE, TRUE
Algorithmia, TRUE, TRUE
Alien Filing Colors, TRUE, TRUE
Alliances, TRUE, TRUE
Alpha, TRUE, TRUE
Alphabet, TRUE, TRUE
Alphabet Buttons, TRUE, TRUE
Alphabetical Order, TRUE, TRUE
Alphabetical Ruling, TRUE, TRUE
Alphabetize, TRUE, TRUE
Alpha-Bits, TRUE, TRUE
Alpha-meta-cal Order, TRUE, TRUE
A-maze-ing Buttons, TRUE, TRUE
Amazing Hexabuttons, TRUE, TRUE
AMM-041-292, TRUE, TRUE
Amnesia, TRUE, TRUE
Among the Colors, TRUE, TRUE
Anagraphy, TRUE, TRUE
Ángel Hernández, TRUE, TRUE
Angles, TRUE, TRUE
Annoying Arrows, TRUE, TRUE
Annoying Puzzle, TRUE, TRUE
Anomia, TRUE, TRUE
Answer Smash, TRUE, TRUE
Answering Can Be Fun, TRUE, TRUE
Answering Questions, TRUE, TRUE
Antichamber, TRUE, TRUE
Antimatter Dimensions, TRUE, TRUE
Anti-Memory, TRUE, TRUE
Antistress, TRUE, TRUE
Aquarium, TRUE, TRUE
Area Split, TRUE, TRUE
Arithmetic Cipher, TRUE, TRUE
Arrow Talk, TRUE, TRUE
Ars Goetia Identification, TRUE, TRUE
Art Pricing, TRUE, TRUE
ASCII Art, TRUE, TRUE
ASCII Maze, TRUE, TRUE
Assembly Code, TRUE, TRUE
Astrological, TRUE, TRUE
Atbash Cipher, TRUE, TRUE
Atlantis, TRUE, TRUE
Audio Keypad, TRUE, TRUE
Autokey, TRUE, TRUE
Baba Is Who?, TRUE, TRUE
Baby Who's on First, TRUE, TRUE
Baccarat, TRUE, TRUE
Back Buttons, TRUE, TRUE
Backdoor Keypad, TRUE, TRUE
Backgrounds, TRUE, TRUE
Bad Bones, TRUE, TRUE
Bad Wording, TRUE, TRUE
BadTV, TRUE, TRUE
Badugi, TRUE, TRUE
Baffling Box, TRUE, TRUE
Bag Search, TRUE, TRUE
Bakery, TRUE, TRUE
Ball Dial, TRUE, TRUE
Bamboozled Again, TRUE, TRUE
Bamboozling Button, TRUE, TRUE
Bamboozling Button Grid, TRUE, TRUE
Bamboozling Directional Button, TRUE, TRUE
Bamboozling Time Keeper, TRUE, TRUE
Bandboozled Again, TRUE, TRUE
Bar Charts, TRUE, TRUE
Barcode Cipher, TRUE, TRUE
Base Conversion, TRUE, TRUE
Base Off, TRUE, TRUE
Base On, TRUE, TRUE
Base-1, TRUE, TRUE
Basegate, TRUE, TRUE
Basic Morse, TRUE, TRUE
Battle of Wits, TRUE, TRUE
Battleship, TRUE, TRUE
Baybayin Words, TRUE, TRUE
Bean Sprouts, TRUE, TRUE
Beanboozled Again, TRUE, TRUE
Beans, TRUE, TRUE
Beatblock, TRUE, TRUE
Bell of Tío, TRUE, TRUE
Bengo Talk, TRUE, TRUE
Bicolored Squares, TRUE, TRUE
Big Bean, TRUE, TRUE
Big Bike Repair, TRUE, TRUE
Big Circle, TRUE, TRUE
Binary, TRUE, TRUE
Binary Buttons, TRUE, TRUE
Binary Cipher, TRUE, TRUE
Binary Grid, TRUE, TRUE
Binary Juggle, TRUE, TRUE
Binary Memory, TRUE, TRUE
Binary Morse, TRUE, TRUE
Binary Puzzle, TRUE, TRUE
Binary Search, TRUE, TRUE
Binary Shift, TRUE, TRUE
Binary Squares, TRUE, TRUE
Binary Tango, TRUE, TRUE
Birthday Cake, TRUE, TRUE
Birthdays, TRUE, TRUE
Bitmaps, TRUE, TRUE
BizzFuzz, TRUE, TRUE
Black, TRUE, TRUE
Black Arrows, TRUE, TRUE
Black Cipher, TRUE, TRUE
Black Hexabuttons, TRUE, TRUE
Black Hole, TRUE, TRUE
Black Screens, TRUE, TRUE
Black Sudoku, TRUE, TRUE
Blackout, TRUE, TRUE
Blananas2, TRUE, TRUE
Blank Card, TRUE, TRUE
Blank Slate, TRUE, TRUE
Blaseball, TRUE, TRUE
Blind Alley, TRUE, TRUE
Blind Arrows, TRUE, TRUE
Blind Circle, TRUE, TRUE
Blind Math, TRUE, TRUE
Blindfolded Rubik's Clock, TRUE, TRUE
Blindfolded Yahtzee, TRUE, TRUE
Blinker, TRUE, TRUE
Blinking Notes, TRUE, TRUE
Blinkstop, TRUE, TRUE
Block Stacks, TRUE, TRUE
Bloxx, TRUE, TRUE
Blue, TRUE, TRUE
Blue Arrows, TRUE, TRUE
Blue Button't, TRUE, TRUE
Blue Cipher, TRUE, TRUE
Blue Hexabuttons, TRUE, TRUE
Blue Huffman Cipher, TRUE, TRUE
Blue Levers, TRUE, TRUE
Blue Sudoku, TRUE, TRUE
Blue Whale, TRUE, TRUE
Bob Barks, TRUE, TRUE
Bob's Parable, TRUE, TRUE
Bomb Corp. Filing, TRUE, TRUE
Bomb Diffusal, TRUE, TRUE
Bomb It!, TRUE, TRUE
Bomb It! Translated, TRUE, TRUE
Bone Apple Tea, TRUE, TRUE
Boob Tube, TRUE, TRUE
Book of Mario, TRUE, TRUE
Boolean Network, TRUE, TRUE
Boolean Wires, TRUE, TRUE
Boomdas, TRUE, TRUE
Boomtar the Great, TRUE, TRUE
Boot Too Big, TRUE, TRUE
Boozleage, TRUE, TRUE
Boozlesnap, TRUE, TRUE
BoozleTalk, TRUE, TRUE
Bordered Keys, TRUE, TRUE
BorisP, TRUE, TRUE
Bottom Gear, TRUE, TRUE
Bottom Gear 2, TRUE, TRUE
Bottom Gear 3, TRUE, TRUE
Bowling, TRUE, TRUE
Boxing, TRUE, TRUE
Brad Memory, TRUE, TRUE
Braille, TRUE, TRUE
Brainf---, TRUE, TRUE
Brawler Database, TRUE, TRUE
Breakers, TRUE, TRUE
Breakfast Egg, TRUE, TRUE
Breaktime, TRUE, TRUE
Bridge, TRUE, TRUE
Broken Binary, TRUE, TRUE
Broken Buttons, TRUE, TRUE
Broken Guitar Chords, TRUE, TRUE
Bronco Trolleys, TRUE, TRUE
Brown Arrows, TRUE, TRUE
Brown Cipher, TRUE, TRUE
Brown Hexabuttons, TRUE, TRUE
Buddy Bidding, TRUE, TRUE
Bulbmaps, TRUE, TRUE
Bumpers, TRUE, TRUE
Burger Alarm, TRUE, TRUE
Burglar Alarm, TRUE, TRUE
Burnout, TRUE, TRUE
Busted Password, TRUE, TRUE
Busy Beaver, TRUE, TRUE
Button Grid, TRUE, TRUE
Button Order, TRUE, TRUE
Button Sequence, TRUE, TRUE
Buttonage, TRUE, TRUE
Buttonplicated Wires, TRUE, TRUE
Buttonword, TRUE, TRUE
BuzzFizz, TRUE, TRUE
Cacti's Conundrum, TRUE, TRUE
Caesar Cipher, TRUE, TRUE
Caesar Cycle, TRUE, TRUE
Caesar Cycle PL, TRUE, TRUE
Caesar Psycho, TRUE, TRUE
Caesar's Maths, TRUE, TRUE
Calculus, TRUE, TRUE
Candy Land, TRUE, TRUE
Canny Maze, TRUE, TRUE
Captain Wheeler, TRUE, TRUE
Captcha The Flag, TRUE, TRUE
CA-RPS, TRUE, TRUE
Carries, TRUE, TRUE
Cartinese, TRUE, TRUE
Castor, TRUE, TRUE
Catch Me if You Can, TRUE, TRUE
Cell Lab, TRUE, TRUE
Censorship, TRUE, TRUE
Cerulean Maze, TRUE, TRUE
Chamber No. 5, TRUE, TRUE
Channel Surfing, TRUE, TRUE
Chaotic Countdown, TRUE, TRUE
Character Codes, TRUE, TRUE
Character Slots, TRUE, TRUE
Charge, TRUE, TRUE
Cheap Checkout, TRUE, TRUE
Cheat Checkout, TRUE, TRUE
Cheep Checkout, TRUE, TRUE
Chessword, TRUE, TRUE
Chicken Nuggets, TRUE, TRUE
Chilli Beans, TRUE, TRUE
Chinese Counting, TRUE, TRUE
Chinese Remainder Theorem, TRUE, TRUE
chip, TRUE, TRUE
Chipping Triangles, TRUE, TRUE
Chord Progressions, TRUE, TRUE
Chromaswapper, TRUE, TRUE
Chronos, TRUE, TRUE
Cipher Machine, TRUE, TRUE
Circuit Charging, TRUE, TRUE
City Planning, TRUE, TRUE
Clapping Music, TRUE, TRUE
Classical Order, TRUE, TRUE
Classical Sense, TRUE, TRUE
Clearance Code, TRUE, TRUE
Clockworks, TRUE, TRUE
Code Cracker, TRUE, TRUE
Codenames, TRUE, TRUE
Coffee Beans, TRUE, TRUE
Coinage, TRUE, TRUE
Collapse, TRUE, TRUE
Colo(u)r Talk, TRUE, TRUE
Color Blindness, TRUE, TRUE
Color Braille, TRUE, TRUE
Color Chaser, TRUE, TRUE
Color Grid, TRUE, TRUE
Color Hexagons, TRUE, TRUE
Color Match, TRUE, TRUE
Color Morse, TRUE, TRUE
Color Numbers, TRUE, TRUE
Color One Two, TRUE, TRUE
Color Pong, TRUE, TRUE
Color Punch, TRUE, TRUE
Color Sorting, TRUE, TRUE
Color-Cycle Button, TRUE, TRUE
Colored Buttons, TRUE, TRUE
Colored Cube, TRUE, TRUE
Colored Keys, TRUE, TRUE
Colored Letters, TRUE, TRUE
Colored Squares, TRUE, TRUE
Colored Switches, TRUE, TRUE
Colorful Dials, TRUE, TRUE
Colorful Hexabuttons, TRUE, TRUE
Colorful Insanity, TRUE, TRUE
Colors Maximization, TRUE, TRUE
Color-Symbolic Interpretation Module, TRUE, TRUE
Colour Catch, TRUE, TRUE
Colour Flash Translated, TRUE, TRUE
Colour Shuffle, TRUE, TRUE
Coloured Arrows, TRUE, TRUE
Coloured Cubes, TRUE, TRUE
Coloured Cylinder, TRUE, TRUE
Common Sense, TRUE, TRUE
Commuting, TRUE, TRUE
Complexity, TRUE, TRUE
Complex-Resistance, TRUE, TRUE
Complicated Buttons, TRUE, TRUE
Complicated Code, TRUE, TRUE
Concentration, TRUE, TRUE
Conditional Maze, TRUE, TRUE
Confused Lying Buttons, TRUE, TRUE
Congkak, TRUE, TRUE
Connect Four, TRUE, TRUE
Connected Monitors, TRUE, TRUE
Connected Quizbowl, TRUE, TRUE
Consonants, TRUE, TRUE
Constellations, TRUE, TRUE
Cookie Jars, TRUE, TRUE
Cooking, TRUE, TRUE
Cool Beans, TRUE, TRUE
Co-op Harmony Sequence, TRUE, TRUE
Coordinates, TRUE, TRUE
Coordination, TRUE, TRUE
Copper-9, TRUE, TRUE
Coprime Checker, TRUE, TRUE
Coral Cipher, TRUE, TRUE
Core Encryption, TRUE, TRUE
Corners, TRUE, TRUE
Cornflower Cipher, TRUE, TRUE
Corridors, TRUE, TRUE
Corrupted Numbers, TRUE, TRUE
Corruption, TRUE, TRUE
Cosmic, TRUE, TRUE
Count to 69420, TRUE, TRUE
Countdown, TRUE, TRUE
Coverage, TRUE, TRUE
Crackbox, TRUE, TRUE
Cranky's Sections, TRUE, TRUE
Crazy Hamburger, TRUE, TRUE
Crazy Maze, TRUE, TRUE
Crazy Talk Translated, TRUE, TRUE
Crazy Talk With A K, TRUE, TRUE
Crazy?, TRUE, TRUE
Cream Cipher, TRUE, TRUE
Creation, TRUE, TRUE
Crimson Cipher, TRUE, TRUE
Critters, TRUE, TRUE
Cruel Binary, TRUE, TRUE
Cruel Boolean Maze, TRUE, TRUE
Cruel Boolean Wires, TRUE, TRUE
Cruel Candy Land, TRUE, TRUE
Cruel Countdown, TRUE, TRUE
Cruel Dial Trial, TRUE, TRUE
Cruel Digital Root, TRUE, TRUE
Cruel Ed Balls, TRUE, TRUE
Cruel Flashing Rotating Squares, TRUE, TRUE
Cruel Garfield Kart, TRUE, TRUE
Cruel Karnaugh Map, TRUE, TRUE
Cruel Keypads, TRUE, TRUE
Cruel Match 'em, TRUE, TRUE
Cruel Modulo, TRUE, TRUE
Cruel Pip-Nado, TRUE, TRUE
Cruel Qualities, TRUE, TRUE
Cruel Rotating Squares, TRUE, TRUE
Cruel Schulte Table, TRUE, TRUE
Cruel Simpleton, TRUE, TRUE
Cruel Stars, TRUE, TRUE
Cruel Word Search, TRUE, TRUE
Cruello, TRUE, TRUE
Cryptic Cycle, TRUE, TRUE
Cryptic Keypad, TRUE, TRUE
Cryptic Password, TRUE, TRUE
Cryptid, TRUE, TRUE
Crypto Market, TRUE, TRUE
Cucumber, TRUE, TRUE
Curly Wires, TRUE, TRUE
Currents, TRUE, TRUE
Curriculum, TRUE, TRUE
Cursed, TRUE, TRUE
Cursed Double-Oh, TRUE, TRUE
Cursor Maze, TRUE, TRUE
Custom Keys, TRUE, TRUE
Cutting Order, TRUE, TRUE
Cyan Arrows, TRUE, TRUE
Cyan Button't, TRUE, TRUE
Cyan Sudoku, TRUE, TRUE
D, TRUE, TRUE
Damocles Lumber, TRUE, TRUE
Dandy's Floors, TRUE, TRUE
Daniel Dice, TRUE, TRUE
Daylight Directions, TRUE, TRUE
Deaf Alley, TRUE, TRUE
Death Note, TRUE, TRUE
Decay, TRUE, TRUE
Deceptive Rainbow Arrows, TRUE, TRUE
Decimation, TRUE, TRUE
Deck Creating, TRUE, TRUE
Decolored Cube, TRUE, TRUE
Decolored Squares, TRUE, TRUE
Decolour Flash, TRUE, TRUE
Delumination, TRUE, TRUE
Denial Displays, TRUE, TRUE
Derivatives, TRUE, TRUE
Desert Bus, TRUE, TRUE
Destabilized Numbers, TRUE, TRUE
Determinants, TRUE, TRUE
DetoNATO, TRUE, TRUE
Devilish Calculations, TRUE, TRUE
Devilish Eggs, TRUE, TRUE
Dial Trial, TRUE, TRUE
Dice Cipher, TRUE, TRUE
Dice Stack, TRUE, TRUE
Diffusion, TRUE, TRUE
Digisibility, TRUE, TRUE
Digit Dilemma, TRUE, TRUE
Digit Sum, TRUE, TRUE
Digital Cipher, TRUE, TRUE
Digital Clock, TRUE, TRUE
Digital Dials, TRUE, TRUE
Digital Grid, TRUE, TRUE
Digital Root, TRUE, TRUE
Dimension Disruption, TRUE, TRUE
Dimension King, TRUE, TRUE
DingBats, TRUE, TRUE
Diophantine Equations, TRUE, TRUE
Directing Buttons, TRUE, TRUE
Directional Button, TRUE, TRUE
Discharge Maze, TRUE, TRUE
Discolored Cube, TRUE, TRUE
Discolored Squares, TRUE, TRUE
Disordered Keys, TRUE, TRUE
Distance Cipher, TRUE, TRUE
Divided Squares, TRUE, TRUE
Divisible Numbers, TRUE, TRUE
DNA Mutation, TRUE, TRUE
Dominoes, TRUE, TRUE
Dominosa, TRUE, TRUE
Don't Touch Anything, TRUE, TRUE
Doofenshmirtz Evil Inc., TRUE, TRUE
Doomsday Button, TRUE, TRUE
Dot, TRUE, TRUE
Double Arrows, TRUE, TRUE
Double Digits, TRUE, TRUE
Double Expert, TRUE, TRUE
Double Knob, TRUE, TRUE
Double Listening, TRUE, TRUE
Double Pitch, TRUE, TRUE
Double Screen, TRUE, TRUE
Double-Oh, TRUE, TRUE
Double-On, TRUE, TRUE
Doubted Lying Buttons, TRUE, TRUE
Dr. Doctor, TRUE, TRUE
Dragon Energy, TRUE, TRUE
Dreamcipher, TRUE, TRUE
Drive-In Window, TRUE, TRUE
Driver Updates, TRUE, TRUE
Dual Buttons, TRUE, TRUE
Dual Sequences, TRUE, TRUE
Duck Konundrum, TRUE, TRUE
"Duck, Duck, Goose", TRUE, TRUE
Ducks, TRUE, TRUE
Dungeon, TRUE, TRUE
Dungeon 2nd Floor, TRUE, TRUE
Dyscalculator, TRUE, TRUE
Earth, TRUE, TRUE
Earthbound, TRUE, TRUE
Eavesdropping, TRUE, TRUE
Echolocation, TRUE, TRUE
Ed Balls, TRUE, TRUE
eeB gnillepS, TRUE, TRUE
egg, TRUE, TRUE
Egyptian Fractions, TRUE, TRUE
Eight, TRUE, TRUE
Eight Pages, TRUE, TRUE
Eight Tiles Panic, TRUE, TRUE
Elder Futhark, TRUE, TRUE
Elder Password, TRUE, TRUE
Emoji, TRUE, TRUE
Emoticon Math, TRUE, TRUE
Emotiguy Identification, TRUE, TRUE
ƎNA Cipher, TRUE, TRUE
Enchantment Table, TRUE, TRUE
Encoloryption, TRUE, TRUE
Encrypted Dice, TRUE, TRUE
Encrypted Equations, TRUE, TRUE
Encrypted Hangman, TRUE, TRUE
Encrypted Maze, TRUE, TRUE
Encrypted Memory, TRUE, TRUE
Encrypted Morse, TRUE, TRUE
Encrypted Timezones, TRUE, TRUE
Encrypted Values, TRUE, TRUE
Encryption Bingo, TRUE, TRUE
Encryption Lingo, TRUE, TRUE
English Entries, TRUE, TRUE
Enigma Cycle, TRUE, TRUE
Entry Number Four, TRUE, TRUE
Entry Number One, TRUE, TRUE
Épelle-moi Ça, TRUE, TRUE
Epic Shapes, TRUE, TRUE
Equations X, TRUE, TRUE
Eredan Duels, TRUE, TRUE
Etch-A-Sketch, TRUE, TRUE
Ethan's Dream, TRUE, TRUE
Etterna, TRUE, TRUE
European Travel, TRUE, TRUE
Even Or Odd, TRUE, TRUE
Evil Word Search, TRUE, TRUE
Exoplanets, TRUE, TRUE
Exploding Mittens, TRUE, TRUE
Extended Boolean Venn Diagram, TRUE, TRUE
Extended Button Order, TRUE, TRUE
Eye Sees All, TRUE, TRUE
F, TRUE, TRUE
Face Off, TRUE, TRUE
Face Perception, TRUE, TRUE
Facets & Logic, TRUE, TRUE
Factoring, TRUE, TRUE
Factoring Grid, TRUE, TRUE
Factoring Maze, TRUE, TRUE
Factory Code, TRUE, TRUE
Factory Cubes, TRUE, TRUE
Factory Maze, TRUE, TRUE
Faerie Fires, TRUE, TRUE
Fake Beans, TRUE, TRUE
Fast Boolean Venn Diagram, TRUE, TRUE
Fast Playfair Cipher, TRUE, TRUE
Faulty Accelerando, TRUE, TRUE
Faulty Backgrounds, TRUE, TRUE
Faulty Binary, TRUE, TRUE
Faulty Buttons, TRUE, TRUE
Faulty Chinese Counting, TRUE, TRUE
Faulty Colored Cube, TRUE, TRUE
Faulty Colour Flash, TRUE, TRUE
Faulty Cruel Flashing Rotating Squares, TRUE, TRUE
Faulty Digital Root, TRUE, TRUE
Faulty RGB Maze, TRUE, TRUE
Faulty Seven Segment Displays, TRUE, TRUE
Feature Cryptography, TRUE, TRUE
Fifteen, TRUE, TRUE
Fifty Blessings, TRUE, TRUE
Fillominordle, TRUE, TRUE
Find The Date, TRUE, TRUE
Find The Invisible Cow, TRUE, TRUE
Fingers, TRUE, TRUE
Finite Automata, TRUE, TRUE
Finite Loop, TRUE, TRUE
Fire Diamonds, TRUE, TRUE
Firework Crate, TRUE, TRUE
Fishing, TRUE, TRUE
Fitting In, TRUE, TRUE
Five Letter Words, TRUE, TRUE
FizzBoss, TRUE, TRUE
FizzBuzz, TRUE, TRUE
Flag Identification, TRUE, TRUE
Flamin' Finger, TRUE, TRUE
Flash Memory, TRUE, TRUE
Flashing Arrows, TRUE, TRUE
Flashing Circles, TRUE, TRUE
Flavor Text, TRUE, TRUE
Flavor Text EX, TRUE, TRUE
Flip The Coin, TRUE, TRUE
Flipping Squares, TRUE, TRUE
Floor Lights, TRUE, TRUE
Flowchart Madness, TRUE, TRUE
Flower Patch, TRUE, TRUE
Flyswatting, TRUE, TRUE
Follow Me, TRUE, TRUE
Follow the Leader, TRUE, TRUE
Following Orders, TRUE, TRUE
Font Select, TRUE, TRUE
Footnotes, TRUE, TRUE
Footover, TRUE, TRUE
Forest Cipher, TRUE, TRUE
Forget Any Color, TRUE, TRUE
Forget Enigma, TRUE, TRUE
Forget Everything, TRUE, TRUE
Forget Fractal, TRUE, TRUE
Forget Infinity, TRUE, TRUE
Forget It Not, TRUE, TRUE
Forget Maze Not, TRUE, TRUE
Forget Me Later, TRUE, TRUE
Forget Me Maybe, TRUE, TRUE
Forget Me No., TRUE, TRUE
Forget Me Not, TRUE, TRUE
Forget Me Now, TRUE, TRUE
Forget Our Voices, TRUE, TRUE
Forget The Colors, TRUE, TRUE
Forget Them All, TRUE, TRUE
Forget This, TRUE, TRUE
Forget Us Not, TRUE, TRUE
Forgetful Grid, TRUE, TRUE
Forgetle, TRUE, TRUE
Forget's Ultimate Showdown, TRUE, TRUE
Forteroudo, TRUE, TRUE
